work_location,position_type,people_number,position_link,publish_times,position_name
上海,设计类,1,https://hr.tencent.com/position_detail.php?id=39412&keywords=&tid=0&lid=0,2018-04-18,15618-角色原画设计（上海）
上海,设计类,1,https://hr.tencent.com/position_detail.php?id=39415&keywords=&tid=0&lid=0,2018-04-18,15618-资深技术美术（上海）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39406&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告平台项目经理（深圳）
北京,产品/项目类,2,https://hr.tencent.com/position_detail.php?id=39408&keywords=&tid=0&lid=0,2018-04-18,SNG04-内容合作-创作者运营（北京）
北京,技术类,1,https://hr.tencent.com/position_detail.php?id=39410&keywords=&tid=0&lid=0,2018-04-18,23675-WEB前端开发工程师（北京）
上海,设计类,1,https://hr.tencent.com/position_detail.php?id=39414&keywords=&tid=0&lid=0,2018-04-18,15618-美术特效设计师（上海）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39404&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告QA质量管理工程师（深圳）
上海,技术类,1,https://hr.tencent.com/position_detail.php?id=39407&keywords=&tid=0&lid=0,2018-04-18,20503-优图Web资深前端开发工程师（上海）
北京,技术类,1,https://hr.tencent.com/position_detail.php?id=39409&keywords=&tid=0&lid=0,2018-04-18,23675-Android客户端开发（北京）
上海,技术类,1,https://hr.tencent.com/position_detail.php?id=39411&keywords=&tid=0&lid=0,2018-04-18,OMG064-应用开发工程师（上海）
上海,设计类,1,https://hr.tencent.com/position_detail.php?id=39413&keywords=&tid=0&lid=0,2018-04-18,15618-3D场景设计师（上海）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39400&keywords=&tid=0&lid=0,2018-04-18,SNG03-游戏社交产品经理（深圳）
北京,技术类,3,https://hr.tencent.com/position_detail.php?id=39402&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告系统后台开发高级工程师（北京）
